AccountCode,Team,Name,Mrg,PinPout,Actual,ExpOptVal,With_Exch,Y_PNL,E_PNL,O_PNL,I_PNL,T_PNL,PL_D0.5U0.5,PL_U0.5D0.5,Client,DT
D080,DEL,DELHIBSE:301X:DEL:6760,0.7,3.0,3.0,0.0,-1.0,4.6,4.02815,-0.4941699999999997,-0.0659049999999999,-0.5718499999999995,0.0,0.0,6760,02-Apr-2024 14:26:17
C315,VEC,DELTAV6V2:720X:VEC:3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595,02-Apr-2024 14:26:17
C787,VEC,DELTAV6V2:720X:VEC:3607,0.2,0.0,0.0,0.0,0.0,0.2,0.4537075,0.0,0.2537075,0.2537075,0.0,0.0,3607,02-Apr-2024 14:26:17
C772,VEC,DELTAV6V2:720X:VEC:3620,0.2,0.0,0.0,0.0,0.0,0.2,0.4118575,0.0,0.21185749999999998,0.21185749999999998,0.0,0.0,3620,02-Apr-2024 14:26:17
C931,VEC,DELTAV6V2:720X:VEC:3624,0.2,0.0,0.0,0.0,0.0,0.2,0.459125,0.0,0.259125,0.259125,0.0,0.0,3624,02-Apr-2024 14:26:17
C900,VSS,DELTAV6V2:720X:VSS:2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050,02-Apr-2024 14:26:17
C952,VSS,DELTAV6V2:720X:VSS:2056,0.5,2.0,2.0,0.0,2.0,0.5,1.07539,0.0,0.57539,0.57539,0.0,-1.0,2056,02-Apr-2024 14:26:17
C755,VSS,DELTAV6V2:720X:VSS:2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948,02-Apr-2024 14:26:17
C746,VEO,DELTAV7STOCKS:711X:VEO:2003,2.2,-3.0,-3.0,0.0,39.0,4.2,4.565825,0.33134999999999964,0.03447500000000034,0.365825,-1.0,1.0,2003,02-Apr-2024 14:26:17
C747,VEO,DELTAV7STOCKS:711X:VEO:2051,1.2,-1.0,-1.0,0.0,20.0,1.9,2.2616375,0.3295375000000004,0.03209999999999975,0.36163750000000017,0.0,0.0,2051,02-Apr-2024 14:26:17
C748,VEO,DELTAV7STOCKS:711X:VEO:3596,1.2,-2.0,-2.0,0.0,22.0,0.9,1.2964125000000002,0.38861249999999986,0.007800000000000396,0.3964125000000003,0.0,0.0,3596,02-Apr-2024 14:26:17
C302,VEO,DELTAV7STOCKS:711X:VEO:6760,2.5,-3.0,-3.0,0.0,36.0,3.6,4.172737500000001,0.6499125000000001,-0.07717499999999852,0.5727375000000013,1.0,-2.0,6760,02-Apr-2024 14:26:17
